	GSM2692159	GSM2692160	GSM2692161	GSM2692162	GSM2692163	GSM2692164
KRT14	16.6989683300248	16.6655833626874	16.5342616368719	15.958662648018	16.4454811538198	16.4092284971399
ENTPD1-AS1	16.6902598364488	16.7018322761477	16.7031730127864	16.4092284971399	16.1886860624443	16.0165976337333
TOMM40	16.6605546916882	16.4181396202324	16.4913622426631	16.0420574380168	16.5790975296244	16.5166665895289
PLA2G2E	16.547105321848	16.4454811538198	16.4548026104939	16.6420333257171	16.3090702701576	16.3017080902592
SLC25A5	16.0199974541815	16.1097614117552	16.0821152248812	16.8861454516045	16.6655833626874	16.9060290893358
CECR7	16.7439544462959	16.547105321848	16.5759930070585	15.8967440401554	16.4730385996099	16.4123119079125
RPS25	16.3017080902592	16.4913622426631	16.4454811538198	16.680859477083	16.4123119079125	16.2746065177485
RP11-338K13.1	16.6372242113978	16.5123027434243	16.6481902002701	16.4345170774512	16.0615391222736	16.2760105681874
DGCR5	16.7806902276976	16.6481902002701	16.5889828163382	15.9667078335637	16.2626470760646	16.2236017537833
LOC101060467	16.5246009032353	16.5790975296244	16.4045824060069	16.163797618371	16.400189444672	16.3873952433539
LOC645752	16.8801223663514	16.8712189442645	16.7836580178838	15.3615178319378	16.3794273593944	16.1690025073518
CLIC1	16.0498932876502	16.0615391222736	16.1129043628332	16.7836580178838	16.8206941213875	16.5188372240507
RP11-218E20.3	16.5790975296244	16.4766565397656	16.6283804073009	16.5322531281082	16.1352331586244	15.9820907499487
SCARNA2	16.4345170774512	16.260970798293	16.2703200096584	16.0244692337889	16.6329071658379	16.6989683300248
CTD-2035E11.3	16.6329071658379	16.7051049958828	16.6006083310803	15.9513939790018	16.2906144162568	16.1203029265719
AC008069.1	16.4236673927853	16.1949006488638	16.3017080902592	16.2504364036605	16.457423509645	16.6693949742253
MMP24-AS1	16.6035830744722	16.6035830744722	16.6233579348989	16.3548406522476	15.9949778512763	16.032351616267
RP11-752L20.5	16.5342616368719	16.5246009032353	16.5271017414196	16.3225387852683	16.1549158246033	16.066691517349
XRCC6	16.3487052147435	16.3811855404304	16.3669184103689	16.4408792273303	16.2760105681874	16.2939150048169
RP11-410C4.4	16.5620992228579	16.4523010815195	16.3794273593944	15.8222120915508	16.362690825594	16.5123027434243
GSTP1	16.311131417019	16.3332399177614	16.3090702701576	16.3539179337279	16.4024827603226	16.3669184103689
RP11-404F10.2	16.5434531128505	16.3763030703186	16.5123027434243	16.0265618902453	16.2209452377226	16.3763030703186
TMEM238	16.5514400995527	16.4548026104939	16.457423509645	16.0521111850776	16.3042779638741	16.2357977426226
RP11-705C15.4	16.4730385996099	16.3487052147435	16.2986629439691	16.1617878142181	16.3452445747587	16.3836211045717
COX7C	16.2467920105331	16.3669184103689	16.0756769646336	16.5945920133291	16.3548406522476	16.3539179337279
RP11-35G22.1	16.3332399177614	16.400189444672	16.400189444672	16.2209452377226	16.3539179337279	16.254191708063
RPSAP58	16.2986629439691	16.4092284971399	16.3836211045717	16.4730385996099	16.4147023822966	15.9337576629297
CLTC	15.7909287149945	15.7379336807114	15.8891028454124	16.8956418980041	16.6989683300248	16.8801223663514
YWHAZ	16.018472191294	16.0569172958033	16.1303046087935	16.5123027434243	16.5271017414196	16.6264296789526
L29074.3	16.3548406522476	16.362690825594	16.3617390011903	16.1303046087935	16.3403041788204	16.2406240255708
PABPC1	16.3164316613414	16.3090702701576	16.3362788657476	16.0883146104163	16.3362788657476	16.3989162914197
FLNA	15.9949778512763	15.9529843442705	16.121512936321	16.709130365184	16.6006083310803	16.4045824060069
RPL29	16.2939150048169	16.3873952433539	16.3548406522476	16.1670108642813	16.2467920105331	16.2932024974033
UQCRHL	16.0165976337333	16.04491855694	16.0265618902453	16.6727540512918	16.3873952433539	16.5658470153996
LINC00842	16.3596554333348	16.1766579410608	16.3452445747587	16.4766565397656	16.1791194841628	16.1462179790805
NONO	16.0615391222736	16.1507479968594	16.1590927391866	16.5271017414196	16.4181396202324	16.3179787171747
RPS9	16.3362788657476	16.2563861634577	16.4236673927853	16.3297608786839	16.1272870798566	16.1590927391866
GPI	16.1864874025137	16.2326873356703	16.1272870798566	16.2960572464258	16.5055954965007	16.2680557616285
KRT16P1	16.4259498025989	16.2467920105331	16.3042779638741	16.4548026104939	15.9898485164178	16.1791194841628
LRRC75A-AS1	15.9877033268066	16.1001477824806	15.9949778512763	16.4815326484785	16.3684189995053	16.6655833626874
CTD-2542L18.1	16.5322531281082	16.3596554333348	16.4815326484785	16.3017080902592	16.0302845926563	15.8837218822421
HIST1H4C	16.2960572464258	16.5211742657317	16.4408792273303	16.3452445747587	15.8983173279493	16.0216054461326
CDIPT-AS1	16.5188372240507	16.4123119079125	16.3403041788204	16.1507479968594	16.018472191294	16.0265618902453
RP11-245J9.4	16.4959468430218	16.3989162914197	16.5087648669058	16.0649852873655	16.0775891971371	15.9077640113035
FUS	16.0547144911868	16.1272870798566	16.2326873356703	16.6097809292784	16.3179787171747	16.0908385710736
