fromNode	toNode	weight	direction	fromAltName	toAltName
ADAMTS19-AS1	RP11-1275H24.1	0.0791260022142808	undirected	ADAMTS19-AS1	RP11-1275H24.1
ADAMTS19-AS1	RP11-128A17.1	0.0722155417580146	undirected	ADAMTS19-AS1	RP11-128A17.1
ADAMTS19-AS1	RP11-13J10.1	0.0729558326948913	undirected	ADAMTS19-AS1	RP11-13J10.1
ADAMTS19-AS1	RP11-182J1.13	0.0555871048842227	undirected	ADAMTS19-AS1	RP11-182J1.13
ADAMTS19-AS1	RP11-229P13.23	0.0563215863923302	undirected	ADAMTS19-AS1	RP11-229P13.23
ADAMTS19-AS1	RP11-259K15.2	0.110147412770066	undirected	ADAMTS19-AS1	RP11-259K15.2
ADAMTS19-AS1	RP11-307O13.1	0.182540425206224	undirected	ADAMTS19-AS1	RP11-307O13.1
ADAMTS19-AS1	RP11-347C18.3	0.0973240158977616	undirected	ADAMTS19-AS1	RP11-347C18.3
ADAMTS19-AS1	RP11-390K5.6	0.0742906060336738	undirected	ADAMTS19-AS1	RP11-390K5.6
ADAMTS19-AS1	RP11-395N3.2	0.133268033011921	undirected	ADAMTS19-AS1	RP11-395N3.2
ADAMTS19-AS1	RP11-400N9.1	0.0305426832233152	undirected	ADAMTS19-AS1	RP11-400N9.1
ADAMTS19-AS1	RP11-546J1.1	0.086556430493603	undirected	ADAMTS19-AS1	RP11-546J1.1
ADAMTS19-AS1	RP11-556N21.1	0.270881079830584	undirected	ADAMTS19-AS1	RP11-556N21.1
ADAMTS19-AS1	RP11-569G13.2	0.0266546402447485	undirected	ADAMTS19-AS1	RP11-569G13.2
ADAMTS19-AS1	RP11-598F7.4	0.23508668970489	undirected	ADAMTS19-AS1	RP11-598F7.4
ADAMTS19-AS1	RP11-666A8.8	0.0376339705989086	undirected	ADAMTS19-AS1	RP11-666A8.8
ADAMTS19-AS1	RP11-689P11.2	0.0722356359216241	undirected	ADAMTS19-AS1	RP11-689P11.2
ADAMTS19-AS1	RP11-69I8.3	0.0492751065184067	undirected	ADAMTS19-AS1	RP11-69I8.3
ADAMTS19-AS1	RP11-713P17.4	0.143529395966775	undirected	ADAMTS19-AS1	RP11-713P17.4
ADAMTS19-AS1	RP11-727A23.10	0.059096029148842	undirected	ADAMTS19-AS1	RP11-727A23.10
ADAMTS19-AS1	RP11-727A23.5	0.16245435278948	undirected	ADAMTS19-AS1	RP11-727A23.5
ADAMTS19-AS1	RP11-814P5.1	0.0909340199886966	undirected	ADAMTS19-AS1	RP11-814P5.1
ADAMTS19-AS1	RP11-819C21.1	0.0619334200530214	undirected	ADAMTS19-AS1	RP11-819C21.1
ADAMTS19-AS1	RP11-890B15.3	0.0452722420884975	undirected	ADAMTS19-AS1	RP11-890B15.3
ADAMTS19-AS1	RP3-523C21.2	0.174496906799825	undirected	ADAMTS19-AS1	RP3-523C21.2
ADAMTS19-AS1	RP5-1177M21.1	0.226541809026125	undirected	ADAMTS19-AS1	RP5-1177M21.1
ADAMTS19-AS1	RP6-201G10.2	0.0753478559498513	undirected	ADAMTS19-AS1	RP6-201G10.2
ADAMTS19-AS1	SNHG8	0.0795716488882755	undirected	ADAMTS19-AS1	SNHG8
ADAMTS19-AS1	SSTR5-AS1	0.0243072614465251	undirected	ADAMTS19-AS1	SSTR5-AS1
ADAMTS19-AS1	TNK2-AS1	0.0287408772150317	undirected	ADAMTS19-AS1	TNK2-AS1
ADAMTS19-AS1	XXbac-BPG299F13.17	0.0383905989153649	undirected	ADAMTS19-AS1	XXbac-BPG299F13.17
AP000253.1	AP000569.9	0.0494838274599794	undirected	AP000253.1	AP000569.9
AP000253.1	C1orf220	0.0410483499686515	undirected	AP000253.1	C1orf220
AP000253.1	CTA-254O6.1	0.0271619855498676	undirected	AP000253.1	CTA-254O6.1
AP000253.1	CTB-131B5.5	0.0339671605570247	undirected	AP000253.1	CTB-131B5.5
AP000253.1	CTB-25B13.9	0.0202586444940621	undirected	AP000253.1	CTB-25B13.9
AP000253.1	CTB-33O18.3	0.035505904374546	undirected	AP000253.1	CTB-33O18.3
